date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:07:24	126194/126194	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Jul%202023%2021:11:22%20GMT	https://spruko.com/demo/synto/Synto/dist/html/index.html	C:/adi/Dashboard/spruko.com/demo/synto/Synto/dist/html/index.html	(from )
13:09:25	4089/4089	---M--	200	added ('OK')	application/javascript	date:Mon,%2003%20Jul%202023%2020:37:04%20GMT	https://spruko.com/demo/synto/Synto/dist/assets/js/main.js	C:/adi/Dashboard/spruko.com/demo/synto/Synto/dist/assets/js/main.js	(from https://spruko.com/demo/synto/Synto/dist/html/index.html)
13:09:27	2950/2950	---M--	200	added ('OK')	text/css	date:Mon,%2003%20Jul%202023%2017:56:10%20GMT	https://spruko.com/demo/synto/Synto/dist/assets/libs/simplebar/simplebar.min.css	C:/adi/Dashboard/spruko.com/demo/synto/Synto/dist/assets/libs/simplebar/simplebar.min.css	(from https://spruko.com/demo/synto/Synto/dist/html/index.html)
13:09:27	9216/9216	---M--	200	added ('OK')	text/css	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://spruko.com/demo/synto/Synto/dist/assets/libs/@simonwep/pickr/themes/nano.min.css	C:/adi/Dashboard/spruko.com/demo/synto/Synto/dist/assets/libs/@simonwep/pickr/themes/nano.min.css	(from https://spruko.com/demo/synto/Synto/dist/html/index.html)
13:09:28	2144/2144	---M--	200	added ('OK')	text/css	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://spruko.com/demo/synto/Synto/dist/assets/libs/jsvectormap/css/jsvectormap.min.css	C:/adi/Dashboard/spruko.com/demo/synto/Synto/dist/assets/libs/jsvectormap/css/jsvectormap.min.css	(from https://spruko.com/demo/synto/Synto/dist/html/index.html)
13:09:30	5282/5282	---M--	200	added ('OK')	application/javascript	date:Mon,%2003%20Jul%202023%2020:37:04%20GMT	https://spruko.com/demo/synto/Synto/dist/assets/js/index.js	C:/adi/Dashboard/spruko.com/demo/synto/Synto/dist/assets/js/index.js	(from https://spruko.com/demo/synto/Synto/dist/html/index.html)
13:09:31	20095/20095	---M--	200	added ('OK')	application/javascript	date:Mon,%2003%20Jul%202023%2017:55:52%20GMT	https://spruko.com/demo/synto/Synto/dist/assets/libs/@popperjs/core/umd/popper.min.js	C:/adi/Dashboard/spruko.com/demo/synto/Synto/dist/assets/libs/@popperjs/core/umd/popper.min.js	(from https://spruko.com/demo/synto/Synto/dist/html/index.html)
13:09:32	72628/72628	---M--	200	added ('OK')	application/javascript	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://spruko.com/demo/synto/Synto/dist/assets/libs/@simonwep/pickr/pickr.es5.min.js	C:/adi/Dashboard/spruko.com/demo/synto/Synto/dist/assets/libs/@simonwep/pickr/pickr.es5.min.js	(from https://spruko.com/demo/synto/Synto/dist/html/index.html)
13:09:32	35211/35211	---M--	200	added ('OK')	application/javascript	date:Mon,%2003%20Jul%202023%2020:37:04%20GMT	https://spruko.com/demo/synto/Synto/dist/assets/js/defaultmenu.js	C:/adi/Dashboard/spruko.com/demo/synto/Synto/dist/assets/js/defaultmenu.js	(from https://spruko.com/demo/synto/Synto/dist/html/index.html)
13:09:33	199560/199560	---M--	200	added ('OK')	application/javascript	date:Mon,%2003%20Jul%202023%2017:55:54%20GMT	https://spruko.com/demo/synto/Synto/dist/assets/libs/chart.js/chart.min.js	C:/adi/Dashboard/spruko.com/demo/synto/Synto/dist/assets/libs/chart.js/chart.min.js	(from https://spruko.com/demo/synto/Synto/dist/html/index.html)
